ApplicationName,ProgramId,FileKeyLastWriteTimestamp,SHA1,IsOsComponent,FullPath,Name,FileExtension,LinkDate,ProductName,Size,Version,ProductVersion,LongPathHash,BinaryType,IsPeFile,BinFileVersion,BinProductVersion,Usn,Language,Description
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2024-04-21 14:33:40,43e2258320589c44ad6e8099b59adb0d9695fc8d,True,c:\windows\system32\csrss.exe,csrss.exe,.exe,2059-06-29 02:10:19,microsoft® windows® operating system,18784,10.0.19041.3636 (winbuild.160101.0800),10.0.19041.3636,csrss.exe|a9363ee544229f11,pe64_amd64,False,10.0.19041.3636,10.0.19041.3636,0,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2024-04-21 14:34:09,f25e92edc0cab5e7446a302863802f3879b27bd9,True,c:\windows\explorer.exe,explorer.exe,.exe,2071-10-18 22:08:18,microsoft® windows® operating system,5550856,10.0.19041.3758 (winbuild.160101.0800),10.0.19041.3758,explorer.exe|68e882542b88f3ee,pe64_amd64,False,10.0.19041.3758,10.0.19041.3758,0,1033,
Unassociated,00060cab34c3bd2ce1cf6ea945003efe06a200000904,2024-04-21 13:36:43,3d26b0dc519e04999118f4a02ea8acd5f1db8feb,False,c:\program files (x86)\microsoft\edgeupdate\microsoftedgeupdate.exe,MicrosoftEdgeUpdate.exe,.exe,2021-07-22 01:16:22,microsoft edge update,214952,1.3.147.37,1.3.147.37,microsoftedgeupd|84bcd64699b11da4,pe32_i386,False,1.3.147.37,1.3.147.37,3472952,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2024-04-21 14:58:59,f704ada972c2a827919fdf1f22b69106788931e5,True,c:\windows\system32\mousocoreworker.exe,MoUsoCoreWorker.exe,.exe,2019-01-16 13:06:01,microsoft® windows® operating system,1739776,10.0.19041.3803 (winbuild.160101.0800),10.0.19041.3803,mousocoreworker.|8858c0fc69bb3765,pe64_amd64,False,10.0.19041.3803,10.0.19041.3803,0,1033,
Unassociated,0006790ec7a1b2173a3f6972f8a7a63fd28300000904,2024-04-21 14:35:44,3dfca1be8bd97c4e41e1328374dd489e2cf1c4a2,False,c:\program files (x86)\microsoft\edge\application\msedge.exe,msedge.exe,.exe,2024-04-17 20:45:34,microsoft edge,4082112,124.0.2478.51,124.0.2478.51,msedge.exe|d27b57360cd4a4cf,pe64_amd64,False,124.0.2478.51,124.0.2478.51,7238232,1033,
Unassociated,000604d03418230599db8edad2c2d81143a600001204,2024-04-21 15:40:50,b284c6b0fae8d7993adfb6a62408a0fff16e652c,False,c:\users\삼식이\tmp\pinball\pinball.exe,PINBALL.EXE,.exe,2008-04-13 18:37:00,3d pinball,277504,5.1.2600.5512 (xpsp.080413-2105),5.1.2600.5512,pinball.exe|f671805f77dc5e75,pe32_i386,False,5.1.2600.5512,5.1.2600.5512,17034440,1042,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2024-04-21 14:37:58,7e4942a97d269fb98a82be452b9c7809a99626ae,True,c:\windows\system32\securebootencodeuefi.exe,SecureBootEncodeUEFI.exe,.exe,2099-05-13 17:23:24,microsoft® windows® operating system,95232,10.0.19041.3758 (winbuild.160101.0800),10.0.19041.3758,securebootencode|7783667e2d48c0d5,pe64_amd64,False,10.0.19041.3758,10.0.19041.3758,0,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2024-04-21 14:33:39,445f5f38365af88ec29b357f4696f0e3ee50a1d8,True,c:\windows\system32\svchost.exe,svchost.exe,.exe,1979-08-31 23:20:03,microsoft® windows® operating system,55456,10.0.19041.3636 (winbuild.160101.0800),10.0.19041.3636,svchost.exe|3a3b9820ea882eb4,pe64_amd64,False,10.0.19041.3636,10.0.19041.3636,0,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2024-04-21 14:34:28,79c9a666e776781578db55d1ca191c15e10b74e6,True,c:\windows\system32\taskhostw.exe,taskhostw.exe,.exe,2015-07-05 22:39:24,microsoft® windows® operating system,98184,10.0.19041.3636 (winbuild.160101.0800),10.0.19041.3636,taskhostw.exe|87c6c7cdfdc02bad,pe64_amd64,False,10.0.19041.3636,10.0.19041.3636,0,1033,
Unassociated,0006280455868ff4cdcd06133da65e3d195b00000904,2024-04-21 15:02:40,99bf5030a015c2f5bea0ab7196b925f6b8d959f9,False,c:\windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.19041.3745_none_7ded3f327ca60a41\tiworker.exe,TiWorker.exe,.exe,1989-01-30 02:26:00,microsoft® windows® operating system,269696,10.0.19041.3745 (winbuild.160101.0800),10.0.19041.3745,tiworker.exe|16e484071b67bfb8,pe64_amd64,False,10.0.19041.3745,10.0.19041.3745,0,1033,
