RunTime,ExecutableName
2024-04-21 15:07:42,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SOFTWAREDISTRIBUTION\DOWNLOAD\INSTALL\AM_BASE.EXE
2024-04-21 15:07:53,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SOFTWAREDISTRIBUTION\DOWNLOAD\INSTALL\AM_DELTA.EXE
2024-04-21 15:07:35,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SOFTWAREDISTRIBUTION\DOWNLOAD\INSTALL\AM_ENGINE.EXE
2024-04-21 14:52:48,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2024-04-21 12:59:51,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2024-04-21 15:20:38,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\AUDIODG.EXE
2024-04-21 15:14:54,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\AUDIODG.EXE
2024-04-21 14:29:22,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\AUDIODG.EXE
2024-04-21 13:19:25,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\AUDIODG.EXE
2024-04-21 12:54:31,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\AUDIODG.EXE
2024-04-21 12:44:51,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\AUDIODG.EXE
2024-04-21 12:35:59,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\AUDIODG.EXE
2024-04-21 12:45:15,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2024-04-21 15:07:13,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2024-04-21 12:44:18,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2024-04-21 12:44:26,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2024-04-21 12:45:53,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2024-04-21 12:41:55,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2024-04-21 12:40:34,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2024-04-21 12:35:12,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2024-04-21 15:13:29,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2024-04-21 15:22:09,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2024-04-21 15:19:41,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2024-04-21 14:34:49,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2024-04-21 14:25:41,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2024-04-21 14:25:18,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2024-04-21 14:18:18,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2024-04-21 14:18:07,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2024-04-21 13:44:32,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2024-04-21 13:10:14,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\BACKGROUNDTRANSFERHOST.EXE
2024-04-21 12:59:46,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\BYTECODEGENERATOR.EXE
2024-04-21 12:59:28,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\BYTECODEGENERATOR.EXE
2024-04-21 12:35:39,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\CLOUDEXPERIENCEHOSTBROKER.EXE
2024-04-21 15:40:47,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\CMD.EXE
2024-04-21 14:51:10,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\CMD.EXE
2024-04-21 14:34:45,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\CMD.EXE
2024-04-21 14:31:55,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\CMD.EXE
2024-04-21 14:31:22,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\CMD.EXE
2024-04-21 14:31:21,\VOLUME{01da93e5ddb71a7f-34ddca5d}\PROGRAM FILES\COMMON FILES\VMWARE\DRIVERS\VSS\COMREG.EXE
2024-04-21 15:40:47,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\CONHOST.EXE
2024-04-21 14:51:12,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\CONHOST.EXE
2024-04-21 14:43:30,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\CONHOST.EXE
2024-04-21 14:31:55,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\CONHOST.EXE
2024-04-21 14:31:22,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\CONHOST.EXE
2024-04-21 12:50:17,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\CONHOST.EXE
2024-04-21 15:20:09,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\CONSENT.EXE
2024-04-21 14:29:24,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\CONSENT.EXE
2024-04-21 14:29:27,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\CONSENT.EXE
2024-04-21 13:00:08,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\CONSENT.EXE
2024-04-21 12:41:31,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\CONSENT.EXE
2024-04-21 12:41:31,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\CONSENT.EXE
2024-04-21 14:52:52,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\COREDPUSSVR.EXE
2024-04-21 12:40:39,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\CSRSS.EXE
2024-04-21 14:43:30,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DEFRAG.EXE
2024-04-21 12:50:17,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DEFRAG.EXE
2024-04-21 14:52:44,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-04-21 12:59:56,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-04-21 12:35:51,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-04-21 14:59:02,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-04-21 13:36:48,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-04-21 12:41:55,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-04-21 12:38:21,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-04-21 15:33:37,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-04-21 15:24:02,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-04-21 15:19:53,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-04-21 15:09:21,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-04-21 15:06:47,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-04-21 14:53:01,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-04-21 14:50:39,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-04-21 14:33:50,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-04-21 12:41:10,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-04-21 12:35:41,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-04-21 13:00:23,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-04-21 13:00:09,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-04-21 12:39:45,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-04-21 14:31:22,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-04-21 12:38:39,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-04-21 12:35:20,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-04-21 14:29:53,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-04-21 14:29:43,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-04-21 13:00:09,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-04-21 12:41:32,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-04-21 12:41:26,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-04-21 12:37:45,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-04-21 12:35:39,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-04-21 15:22:15,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-04-21 15:21:37,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-04-21 15:21:08,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-04-21 15:20:39,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-04-21 15:14:45,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-04-21 15:14:36,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-04-21 14:52:43,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-04-21 14:25:38,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-04-21 14:30:55,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DRVINST.EXE
2024-04-21 14:30:52,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DRVINST.EXE
2024-04-21 14:30:50,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DRVINST.EXE
2024-04-21 14:30:48,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DRVINST.EXE
2024-04-21 14:30:46,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DRVINST.EXE
2024-04-21 14:30:40,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DRVINST.EXE
2024-04-21 12:42:54,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DRVINST.EXE
2024-04-21 12:42:48,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DRVINST.EXE
2024-04-21 12:41:42,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DSMUSERTASK.EXE
2024-04-21 12:41:37,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DSMUSERTASK.EXE
2024-04-21 12:41:36,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DSMUSERTASK.EXE
2024-04-21 12:38:35,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DSMUSERTASK.EXE
2024-04-21 12:40:39,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\DWM.EXE
2024-04-21 15:22:03,\VOLUME{01da93e5ddb71a7f-34ddca5d}\PROGRAM FILES (X86)\MICROSOFT\EDGE\APPLICATION\124.0.2478.51\ELEVATION_SERVICE.EXE
2024-04-21 14:34:45,\VOLUME{01da93e5ddb71a7f-34ddca5d}\PROGRAM FILES (X86)\MICROSOFT\EDGE\APPLICATION\124.0.2478.51\ELEVATION_SERVICE.EXE
2024-04-21 14:25:17,\VOLUME{01da93e5ddb71a7f-34ddca5d}\PROGRAM FILES (X86)\MICROSOFT\EDGE\APPLICATION\124.0.2478.51\ELEVATION_SERVICE.EXE
2024-04-21 13:44:31,\VOLUME{01da93e5ddb71a7f-34ddca5d}\PROGRAM FILES (X86)\MICROSOFT\EDGE\APPLICATION\124.0.2478.51\ELEVATION_SERVICE.EXE
2024-04-21 12:57:09,\VOLUME{01da93e5ddb71a7f-34ddca5d}\USERS\삼식이\APPDATA\LOCAL\MICROSOFT\ONEDRIVE\21.220.1024.0005\FILESYNCCONFIG.EXE
2024-04-21 12:56:31,\VOLUME{01da93e5ddb71a7f-34ddca5d}\USERS\삼식이\APPDATA\LOCAL\MICROSOFT\ONEDRIVE\19.043.0304.0013\FILESYNCCONFIG.EXE
2024-04-21 12:40:40,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\OOBE\FIRSTLOGONANIM.EXE
2024-04-21 12:40:39,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\FONTDRVHOST.EXE
2024-04-21 12:44:11,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\FSQUIRT.EXE
2024-04-21 15:19:56,\VOLUME{01da93e5ddb71a7f-34ddca5d}\PROGRAM FILES\WINDOWSAPPS\MICROSOFT.XBOXGAMINGOVERLAY_2.34.28001.0_X64__8WEKYB3D8BBWE\GAMEBAR.EXE
2024-04-21 15:22:50,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\GAMEBARPRESENCEWRITER.EXE
2024-04-21 15:19:53,\VOLUME{01da93e5ddb71a7f-34ddca5d}\WINDOWS\SYSTEM32\GAMEBARPRESENCEWRITER.EXE
2024-04-21 15:14:38,\VOLUME{01da93e5ddb71a7f-34ddca5d}\PROGRAM FILES\WINDOWSAPPS\MICROSOFT.WINDOWSCOMMUNICATIONSAPPS_16005.11629.20316.0_X64__8WEKYB3D8BBWE\HXTSR.EXE
2024-04-21 15:22:21,\VOLUME{01da93e5ddb71a7f-34ddca5d}\PROGRAM FILES (X86)\MICROSOFT\EDGE\APPLICATION\124.0.2478.51\IDENTITY_HELPER.EXE
2024-04-21 14:34:59,\VOLUME{01da93e5ddb71a7f-34ddca5d}\PROGRAM FILES (X86)\MICROSOFT\EDGE\APPLICATION\124.0.2478.51\IDENTITY_HELPER.EXE
2024-04-21 14:25:19,\VOLUME{01da93e5ddb71a7f-34ddca5d}\PROGRAM FILES (X86)\MICROSOFT\EDGE\APPLICATION\124.0.2478.51\IDENTITY_HELPER.EXE
2024-04-21 13:44:33,\VOLUME{01da93e5ddb71a7f-34ddca5d}\PROGRAM FILES (X86)\MICROSOFT\EDGE\APPLICATION\124.0.2478.51\IDENTITY_HELPER.EXE
